Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,9,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,8,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,10,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,8,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,7,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,7,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,10,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,9,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,5,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,8,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,9,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,10,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Школа місцевого самоврядування DESPRO ― 2021
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",1 квартал 2021,,,Управління місцевим соціально-економічним розвитком; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Управління земельними ресурсами,6,Посадові особи місцевого самоврядування керівного рівня,1,Моніторингова оцінка виконання плану дій з покращення стану гендерної рівності
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Депутати місцевих рад,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування керівного рівня,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Депутати місцевих рад,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",1,Посадові особи місцевого самоврядування керівного рівня,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,,"Гендерна рівність, написання проектів",,Посадові особи місцевого самоврядування,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,5,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,5,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,5,Фахівці комунального підприємства,1,
"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",2 квартал 2021,,"Комунальні послуги (водопостачання, водовідведення, ТПВ, ЖКГ, інфраструктура, благоустрій, освітлення тощо)",,5,Фахівці комунального підприємства,1,
