Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,35,Посадові особи місцевого самоврядування керівного рівня,26,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,67,Посадові особи місцевого самоврядування керівного рівня,27,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,43,Посадові особи місцевого самоврядування керівного рівня,28,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,39,Посадові особи місцевого самоврядування керівного рівня,30,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,60,Посадові особи місцевого самоврядування керівного рівня,40,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,24,Посадові особи місцевого самоврядування керівного рівня,19,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,99,Посадові особи місцевого самоврядування керівного рівня,114,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,86,Посадові особи місцевого самоврядування керівного рівня,62,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,35,Посадові особи місцевого самоврядування керівного рівня,35,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,51,Посадові особи місцевого самоврядування керівного рівня,36,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,48,Посадові особи місцевого самоврядування керівного рівня,28,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,,Посадові особи місцевого самоврядування керівного рівня,33,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,44,Посадові особи місцевого самоврядування керівного рівня,37,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,4 квартал 2020,,,Управління людськими ресурсами,57,Посадові особи місцевого самоврядування керівного рівня,46,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,«Фінансове забезпечення територіальної громади та управління людськими ресурсами»,86,Посадові особи місцевого самоврядування керівного рівня,54,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,“Ефективна комунікація: як залучати громадськість і розбудовувати соціальний капітал”,41,Посадові особи місцевого самоврядування керівного рівня; Посадові особи місцевого самоврядування,14,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,"«Організація діяльності сільського, селищного, міського голови»",245,Голови органів місцевого самоврядування та їх заступники; Посадові особи місцевого самоврядування керівного рівня,151,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,«Діяльність депутата у місцевій раді та її органах»,,Депутати місцевих рад,33,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,«Мистецтво ведення змін: як сформувати інноваційну культуру організації?»,61,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",31,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,«Лідерство у публічному управлінні: відповідь на виклики сьогодення»,82,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",32,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,«Організаційна культура органу публічної влади»,103,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",25,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,"«Ефективні управлінські рішення: як поєднати законність, професійну етику та доброчесність»",127,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",17,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,“Ефективна комунікація: як залучати громадськість і розбудовувати соціальний капітал”,79,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",34,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,«Ефективна комунікація: як залучати громадськість і розбудовувати соціальний капітал»,34,"Голови органів місцевого самоврядування та їх заступники
Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",14,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,"ЗКП „Інтеграція гендерного підходу у місцеві політики, плани та бюджети”",28,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",20,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,"ЗКП „Інтеграція гендерного підходу у місцеві політики, плани та бюджети”",26,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",11,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,"ЗКП „Інтеграція гендерного підходу у місцеві політики, плани та бюджети”",22,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",21,
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,2 квартал 2021,,,Політика гендерної рівності,24,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування",11,
